SampleName,GMHI,Microbiome,SampleNum,Rep
S15-16-1,2.369717643,S15,16,1
S1-16-2,2.447725012,S1,16,2
S11-16-3,2.252692598,S11,16,3
S4-16-3,2.483356813,S4,16,3
S2-16-3,2.939217186,S2,16,3
S11-16-2,2.107376298,S11,16,2
S10-16-3,3.842767535,S10,16,3
S16-16-2,3.171269057,S16,16,2
S13-16-1,1.859633348,S13,16,1
S10-16-2,2.708376659,S10,16,2
S16-16-1,3.189073847,S16,16,1
S3-16-2,4.058084448,S3,16,2
S14-16-3,0.04916174,S14,16,3
S7-16-3,3.157247708,S7,16,3
S6-17-1,-1.00669195,S6,17,1
S10-17-2,2.822380304,S10,17,2
S9-17-1,3.183046221,S9,17,1
S12-17-1,0.698439386,S12,17,1
S8-17-2,3.325596492,S8,17,2
S8-17-1,2.263641484,S8,17,1
S2-17-3,1.080789999,S2,17,3
S8-17-3,3.391988164,S8,17,3
S15-17-1,1.741530438,S15,17,1
S2-17-2,0.447697352,S2,17,2
S4-17-3,1.325059794,S4,17,3
S16-17-1,3.344254952,S16,17,1
S2-17-1,0.043193963,S2,17,1
S13-17-3,2.299420037,S13,17,3
S3-17-1,3.042031216,S3,17,1
S3-17-2,3.139707517,S3,17,2
S10-17-3,2.5790672,S10,17,3
S12-17-2,0.517522336,S12,17,2
S12-17-3,0.500450173,S12,17,3
S5-17-2,-0.646624718,S5,17,2
S3-17-3,1.301990402,S3,17,3
S7-17-1,1.312193833,S7,17,1
S7-17-2,2.027166491,S7,17,2
S7-17-3,1.812597564,S7,17,3
S13-17-1,1.869459601,S13,17,1
S9-17-2,2.008878678,S9,17,2
S6-17-2,-1.802721923,S6,17,2
S13-17-2,2.541999117,S13,17,2
S6-17-3,-1.712331382,S6,17,3
S15-17-2,1.463072954,S15,17,2
S15-17-3,2.093768983,S15,17,3
S4-17-1,1.542119033,S4,17,1
S5-17-1,-1.687767622,S5,17,1
S11-17-1,0.889330374,S11,17,1
S14-17-1,-1.000695387,S14,17,1
S9-17-3,1.59890079,S9,17,3
S4-17-2,1.406611796,S4,17,2
S10-17-1,2.242877101,S10,17,1
S1-17-2,0.848898704,S1,17,2
S1-17-3,1.014435262,S1,17,3
S16-17-2,4.005304429,S16,17,2
S1-17-1,0.162776983,S1,17,1
S16-17-3,3.654656056,S16,17,3
S5-17-3,-1.45800288,S5,17,3
S14-17-2,-1.068973614,S14,17,2
S14-17-3,-1.343364682,S14,17,3
S11-17-3,1.126999649,S11,17,3
S11-17-2,1.30579469,S11,17,2
S15-18-1,2.322456356,S15,18,1
S8-18-1,2.822845083,S8,18,1
S4-18-1,1.869570311,S4,18,1
S14-18-2,0.571372694,S14,18,2
